name,price,category,brand
luva de correr roscavel pvc polegada tigre,45.9,conexoes,TIGRE
luva roscavel pvc correr tigre,88.9,conexoes,TIGRE
joelho roscavel pvc graus tigre,39.9,conexoes,TIGRE
adaptador soldavel pvc caixa d agua flanges livres tigre,369.9,conexoes,TIGRE
curva de transposicao soldavel pvc tigre,8.79,conexoes,TIGRE
adaptador rosavel com anel para caixa d agua pvc polegadas tigre,39.9,conexoes,TIGRE
ralo sifonado quadrado com grelha pvc xx branco tigre,21.9,acess_hidraulico,TIGRE
curvar de esgoto pvc graus serie r tigre,39.9,conexoes,TIGRE
adaptador soldavel pvc para caixa agua com flange livre tigre,329.99,conexoes,TIGRE
cap de esgoto pvc serie r tigre,90.69,conexoes,TIGRE
adaptador roscavel com anel para caixa d agua pvc polegada tigre,21.9,conexoes,TIGRE
te soldavel com rosca na bolsa central pvc tigre,5.89,conexoes,TIGRE
bucha de reducao transicao cpvc aquatherm tigre,29.9,conexoes,TIGRE
juncao esgoto pvc simples tigre,3.79,conexoes,TIGRE
uniao soldavel pvc tigre,165.9,conexoes,TIGRE
te misturador transicao cpvc aquatherm tigre,34.39,conexoes,TIGRE
te transicao cpvc polegada aquatherm tigre,16.9,conexoes,TIGRE
te soldavel com rosca de latao na bolsa central pvc tigre,8.9,conexoes,TIGRE
luva de transicao cpvc polegada aquatherm tigre,10.9,conexoes,TIGRE
bucha reducao pvc soldavel longa tigre,21.9,conexoes,TIGRE
bucha de reducao pvc soldavel longa tigre,14.9,conexoes,TIGRE
cap roscavel pvc aquartherm tigre,1.65,conexoes,TIGRE
bucha reducao transicao cpvc aquatherm tigre,1.15,conexoes,TIGRE
te misturador soldavel cpvc aquatherm tigre,8.99,conexoes,TIGRE
cap soldavel pvc tigre,66.49,conexoes,TIGRE
te de reducao pvc serie reforcada tigre,113.9,conexoes,TIGRE
luva soldavel pvc correr tigre,45.9,conexoes,TIGRE
calha beiral pvc metros aquapluv bege tigre,221.9,acess_hidraulico,TIGRE
bucha reducao pvc roscavel tigre,21.9,conexoes,TIGRE
uniao roscavel pvc tigre,83.9,conexoes,TIGRE
adaptador soldavel pvc caixa d agua anel tigre,24.49,conexoes,TIGRE
bucha reducao pvc soldavel curta tigre,23.59,conexoes,TIGRE
tubo cpvc aquatherm tigre,160.9,tubos,TIGRE
te pvc dnmm demm pba junta elastica bbb tigre,176.9,conexoes,TIGRE
grelha pvc redonda branca tigrec,5.79,acess_hidraulico,TIGRE
tubo soldavel cpvc aquarherm tigre,33.9,tubos,TIGRE
luva de correr pba pvc dnmm demm je tigre,26.99,conexoes,TIGRE
te pvc dnmm demm pba je bbb tigre,97.79,conexoes,TIGRE
tubo pvc aquatherm tigre,225.9,tubos,TIGRE
tubo soldavel cpvc aquatherm tigre,75.9,tubos,TIGRE
curva pba pvc dn demm g junta elastica tigre,199.9,conexoes,TIGRE
te de esgoto pvc serie reforcada tigre,35.9,conexoes,TIGRE
curva pba pvc dnmm demm graus je tigre,29.9,conexoes,TIGRE
bucha de reducao soldavel curto pvc tigre,102.9,conexoes,TIGRE
luva esgoto pvc simples tigre,2.59,conexoes,TIGRE
te de reducao pvc esgoto tigre,11.89,conexoes,TIGRE
te reducao pvc esgoto tigre,14.9,conexoes,TIGRE
adaptador soldavel de pvc caixa d agua anel tigre,36.39,conexoes,TIGRE
curva de esgoto pvc graus serie r tigre,34.9,conexoes,TIGRE
tubo roscavel pvc tigre,199.9,tubos,TIGRE
tubo soldavel pvc tigre,759.9,tubos,TIGRE
tubo esgoto pvc tigre,32.9,tubos,TIGRE
tubo de esgoto pvc serie r tigre,165.9,tubos,TIGRE
te de reducao pvc roscavel tigre,12.49,conexoes,TIGRE
te soldavel pvc tigre,9.9,conexoes,TIGRE
tubo de esgoto pvc branco tigre,769.9,tubos,TIGRE
tubo esgoto pvc leve tigre,969.9,tubos,TIGRE
tubo esgoto serie reforcada cmxm tigre,245.9,tubos,TIGRE
